Market Place,Account Holder,Account,Psp Reference,Payment Psp Reference,Payment Merchant Reference,Capture Psp Reference,Capture Merchant Reference,Payout Psp Reference,Chargeback Psp Reference,Booking Date,TimeZone,Description,Main Currency,Main Amount,Record Type,Balance Currency,Pending (BC),Balance (BC),Exchange Rate,Bank account details,US State,Refund terms,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,ZWMCJCTL38N9TQ82,LKKFXVRT5LWT3ST5,0ynpbSdN0bybEvCyHJOw7k-4YQYafa3mZwUCtmoXf6kFM-5hKdwkIPvzK9vUJPObX0Vw,SCSQWQ79RS9JFH65,0ynpbSdN0bybEvCyHJOw7k-4YQYafa3mZwUCtmoXf6kFM-5hKdwkIPvzK9vUJPObX0Vw-capture,,,2024-03-03 22:17:02,PST,0ynpbSdN0bybEvCyHJOw7k-4YQYafa3mZwUCtmoXf6kFM-5hKdwkIPvzK9vUJPObX0Vw-capture,USD,16.78,Credited,USD,-16.78,16.78,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,DM2LJCTL38N9TQ82,CZDGRCJLCZSKGK82,44kNfOy4U8q7PBD6CeTuLS-6dwU28MBapfCy8p5FXyoPv-1VT4AvWXWSX2nIzUWLHsCP,J3DNK6WPHRQWFL65,44kNfOy4U8q7PBD6CeTuLS-6dwU28MBapfCy8p5FXyoPv-1VT4AvWXWSX2nIzUWLHsCP-capture,,,2024-03-03 22:17:02,PST,44kNfOy4U8q7PBD6CeTuLS-6dwU28MBapfCy8p5FXyoPv-1VT4AvWXWSX2nIzUWLHsCP-capture,USD,22.00,Credited,USD,-22.00,22.00,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,TT3TVCTL38N9TQ82,PKKQR54QGTGLNK82,3sxxgTfgvD0AY7haUw0Dc8-3O5yw6d5siTsEUYDqWeMeA-4DVooLkcVzrDZ4YBcURiTl,P7FN5FRHBQG5HW65,3sxxgTfgvD0AY7haUw0Dc8-3O5yw6d5siTsEUYDqWeMeA-4DVooLkcVzrDZ4YBcURiTl-capture,,,2024-03-03 22:17:02,PST,3sxxgTfgvD0AY7haUw0Dc8-3O5yw6d5siTsEUYDqWeMeA-4DVooLkcVzrDZ4YBcURiTl-capture,USD,3.00,Credited,USD,-3.00,3.00,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,JJDRMCTL38N9TQ82,TKVMSBCBBNK2WN82,44kNfOy4U8q7PBD6CeTuLS-6dwU28MBapfCy8p5FXyoPv-6XSc3QfplIhQeEgUrMwYey,NGJ7JNT363LWFL65,44kNfOy4U8q7PBD6CeTuLS-6dwU28MBapfCy8p5FXyoPv-6XSc3QfplIhQeEgUrMwYey-capture,,,2024-03-03 22:17:02,PST,44kNfOy4U8q7PBD6CeTuLS-6dwU28MBapfCy8p5FXyoPv-6XSc3QfplIhQeEgUrMwYey-capture,USD,11.00,Credited,USD,-11.00,11.00,,,,,,,,,,
AffiniPayLLC,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP,8516348271525994,FD39TTRL38N9TQ82,BHWQ3B9RB8PQ7RT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-31Ema5GWiHifrP1s5qBQkq,GFHCG93RDHXXGN82,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-31Ema5GWiHifrP1s5qBQkq-capture,,,2024-03-03 22:17:02,PST,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-31Ema5GWiHifrP1s5qBQkq-capture,USD,100.00,Credited,USD,-100.00,100.00,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,KHG3WCTL38N9TQ82,DMDRPZJM9MBX8N82,5qmHRX2JFUUVph4myOIqyt-5hTjbXhp3QsHvxrW03lHby-5uyKmIy2u98iRHg0M1apKZ,DLCHRTLC8BL4QM65,5qmHRX2JFUUVph4myOIqyt-5hTjbXhp3QsHvxrW03lHby-5uyKmIy2u98iRHg0M1apKZ-capture,,,2024-03-03 22:17:02,PST,5qmHRX2JFUUVph4myOIqyt-5hTjbXhp3QsHvxrW03lHby-5uyKmIy2u98iRHg0M1apKZ-capture,USD,22.00,Credited,USD,-22.00,22.00,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,D6W3Q8F28WK7C782,MLNQ5JLV5HNG5S82,44kNfOy4U8q7PBD6CeTuLS-6dwU28MBapfCy8p5FXyoPv-1Nf810GdIzMgGn9pChA9zJ,VSPXGCKPVKF4QM65,44kNfOy4U8q7PBD6CeTuLS-6dwU28MBapfCy8p5FXyoPv-1Nf810GdIzMgGn9pChA9zJ-capture,,,2024-03-03 22:17:02,PST,44kNfOy4U8q7PBD6CeTuLS-6dwU28MBapfCy8p5FXyoPv-1Nf810GdIzMgGn9pChA9zJ-capture,USD,3.00,Credited,USD,-3.00,3.00,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,P8W3Q8F28WK7C782,RWRTVCJLCZSKGK82,72MOme9ny02vRMPV13andA-6TjcxVUJtwJ144dbT4xcI9-0TqIprqW8ZYn5P2FsWgWpY,DNSDF585PVD5XM65,72MOme9ny02vRMPV13andA-6TjcxVUJtwJ144dbT4xcI9-0TqIprqW8ZYn5P2FsWgWpY-capture,,,2024-03-03 22:17:02,PST,72MOme9ny02vRMPV13andA-6TjcxVUJtwJ144dbT4xcI9-0TqIprqW8ZYn5P2FsWgWpY-capture,USD,33.00,Credited,USD,-33.00,33.00,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,HSCFRCTL38N9TQ82,XM4773QJT3RZNN82,3sxxgTfgvD0AY7haUw0Dc8-3O5yw6d5siTsEUYDqWeMeA-6DMXGsWiM9JD8R9DvDS4nA,W7NNPNT363LWFL65,3sxxgTfgvD0AY7haUw0Dc8-3O5yw6d5siTsEUYDqWeMeA-6DMXGsWiM9JD8R9DvDS4nA-capture,,,2024-03-03 22:17:02,PST,3sxxgTfgvD0AY7haUw0Dc8-3O5yw6d5siTsEUYDqWeMeA-6DMXGsWiM9JD8R9DvDS4nA-capture,USD,2.00,Credited,USD,-2.00,2.00,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,PS2H2DTL38N9TQ82,WQHLJR4RDHXXGN82,5qmHRX2JFUUVph4myOIqyt-5hTjbXhp3QsHvxrW03lHby-4Fb2diq7ztNNMk23MY8qnG,KCMBLM6HC685XM65,5qmHRX2JFUUVph4myOIqyt-5hTjbXhp3QsHvxrW03lHby-4Fb2diq7ztNNMk23MY8qnG-capture,,,2024-03-03 22:17:02,PST,5qmHRX2JFUUVph4myOIqyt-5hTjbXhp3QsHvxrW03lHby-4Fb2diq7ztNNMk23MY8qnG-capture,USD,3.00,Credited,USD,-3.00,3.00,,,,,,,,,,
